en,es
The bottle is made of glass.,La botella está hecha de vidrio.
Maybe Tom and Mary don't know there's still work to do.,Quizá Tom y Mary no saben que todavía hay trabajo por hacer.
The festival is held in the second week of January every year.,El festival tiene lugar todos los años durante la segunda semana de enero.
Tom helped Mary carry her suitcases.,Tom ayudó a Mary a llevar sus valijas.
I like to ride on trains.,Me gusta ir en tren.
You don't seem to be as confused as Tom seems to be.,No pareces estar confundido tanto como Tom.
The prime minister's speech mobilized the population.,El discurso del primer ministro movilizó a la población.
The octopus only exits its lair to look for food or for reproductive purposes.,El pulpo solo sale de su guarida para buscar comida o con fines de reproducción.
He was able to reduce taxes.,Él pudo reducir los impuestos.
Come close without making any noise.,Acércate sin hacer ruido.
He works as a translator.,Él trabaja como traductor.
Tom goes to a restaurant for lunch at least three times a week.,Tom come en un restaurante al menos tres veces a la semana.
Tom doesn't like cats.,A Tom no le gustan los gatos.
This patient's life is in danger.,La vida de esta paciente está en peligro.
Do you speak French every day?,¿Hablas francés cada día?
I won't be free tomorrow.,No estaré libre mañana.
Tom is afraid of big dogs.,Tom tiene miedo de los perros grandes.
Did you hear about Tom's accident?,¿Oíste acerca del accidente de Tom?
You're enabling Tom's alcoholism.,Estás facilitando el alcoholismo de Tom.
I'm going to cook some orange pancakes this afternoon.,Yo haré unos panqueques de naranja esta tarde.
Are you one of Tom's relatives?,¿Eres uno de los parientes de Tom?
I need to help Tom.,Necesito ayudar a Tom.
When the dog is happy it wags its tail.,Cuando el perro está alegre mueve la cola.
Human beings have achieved a lot more than animals.,Los seres humanos han logrado mucho más que los animales.
I was looking for her.,La busqué.
I am busy preparing for the next exam.,Estoy ocupado preparando para el siguiente examen.
"Tom, please open the door.","Tom, abre la puerta, por favor."
Why do I have to help them?,¿Por qué debo ayudarlos?
Is that a complaint?,¿Eso es una queja?
Send me a racket and my tennis shoes.,Envíame una raqueta y mis zapatos de jugar al tenis.
I'm really worried. His skin is turning yellow.,"Estoy muy preocupada, se le ha puesto la piel amarilla."
I heard someone laughing.,Escuché a alguien que reía.
Can you quit your job?,¿Puedes dejar tu trabajo?
We will not bend to the will of a tyrant.,No nos doblegaremos a la voluntad de un tirano.
That's accurate.,Es preciso.
Paraguay achieved its independence from Spain in 1811.,Paraguay logró su independencia de España en 1811.
Don't throw stones.,No tires piedras.
Take your raincoat in case it rains.,Llevaos el impermeable por si llueve.
Where could I buy a shirt?,¿Dónde podría comprar una camisa?
Tom will hear me.,Tom me escuchará.
How did you make out on your French finals?,¿Cómo te ha salido el examen final de francés?
I want to break up with you.,Quiero cortar contigo.
What did your wife say?,¿Qué dijo tu esposa?
We don't have to try to reinvent the wheel.,No tenemos que tratar de reinventar la rueda.
It was foolish of him to do such a thing.,Fue una tontería de su parte hacer tal cosa.
Vegetables are healthy.,Las verduras son sanas.
The old man sat on the bench with his eyes closed.,El anciano se sentó en la banca con los ojos cerrados.
She's meditating.,Ella está meditando.
What's the secret?,¿Cuál es el secreto?
Do you have younger brothers?,¿Tienes hermanos menores?
She tried to persuade him to go with her.,Ella intentó convencerle para que fuera con ella.
I don't want to learn French.,No quiero aprender francés.
If it's allowed.,Si se permite.
He doesn't remember anything.,No se acuerda de nada.
My sister is also my best friend.,Mi hermana es también mi mejor amiga.
The prisoner was released.,El prisionero fue liberado.
I persuaded him to consult a doctor.,Lo persuadí de consultar a un doctor.
There was a calm wind yesterday.,Ayer el viento estaba calmado.
It is no wonder that a man of his ability is successful.,No es de asombrarse que un hombre con sus capacidades sea exitoso.
This may not sound serious.,Puede que esto no suene serio
Breaking store windows is a kind of vandalism.,Romper los cristales de las tiendas es una forma de vandalismo.
Tom quickly burned through his money.,Tom se fundió rápidamente el dinero.
He demanded a large sum of money from me.,Me exigió una fuerte cantidad de dinero.
Emilia is sad today.,Emilia está triste hoy.
Tom wants to be hugged.,Tom quiere ser abrazado.
Tom knows.,Tom sabe.
Remember me from time to time.,Acuérdate de mí de vez en cuando.
Did you notice anything unusual?,¿Notaste algo raro?
That problem naturally invited debate.,Ese problema naturalmente provocó debate.
The drainage is blocked.,El drenaje está tapado.
Their muscles are stiff.,Tienen agujetas.
I killed them.,Yo los maté.
She was young and innocent.,Ella era joven e inocente.
"My cat is named Putin, but it's more handsome than Russia's President.","Mi gato se llama Putin, pero es más guapo que el Presidente ruso."
The rich aren't always happier than the poor.,Los ricos no siempre son más felices que los pobres.
Let's pray.,Oremos.
In England you drive on the left.,En Inglaterra conducen por la izquierda.
The hole is narrow.,El agujero es estrecho.
Why did you have to go?,¿Por qué tuviste que marcharte?
Mary broke up with the boy she had been dating.,Mary cortó con el chico con el que había estado saliendo.
She does not like him.,Él no le gusta a ella.
Keep it up!,¡Continúe!
How old are you?,¿Cuántos años tenéis?
I do not like to perform in front of others.,No me gusta actuar delante de otros.
I've just received a text from Tom.,Acabo de recibir un texto de Tom.
Please move away from the door.,"Por favor, aléjense de la puerta."
I love sports.,Me encanta el deporte.
"Unfortunately, the rest of the world doesn't know much about Hungarian literature.","Desafortunadamente, el resto del mundo no sabe mucho sobre literatura húngara."
Don't ever lie to me again.,No vuelvas a mentirme nunca.
May I ask how old you are?,¿Puedo preguntaros cuántos años tenéis?
I am no longer a child.,Ya no soy un niño.
I played with a lot of dolls when I was a girl.,Jugué mucho con muñecas cuando niña.
He is well spoken of by everybody.,Él tiene buena fama con todos.
Are you blaming me?,¿Me estás echando la culpa?
No human being is illegal.,Ningún ser humano es ilegal.
Don't drag the table! You lift it and then you move it.,¡No arrastres la mesa! Levántala y luego la mueves.
You think I don't know what's going on?,¿Crees que no sé lo que está pasando?
I have ADHD.,Yo tengo ADHD.
Don't close the jar too tightly.,No cerréis el tarro demasiado fuerte.
I always eat lunch at two.,Siempre almuerzo a las dos.
The weather is cold now.,El tiempo está frío ahora.
This is my mobile.,Este es mi teléfono móvil.
I'm still a little mad at you.,Aún estoy un poco enojado contigo.
"What kind of sweets did I like as a child? Even if I try to remember, I can't.","¿Qué clase de dulces me gustaban cuando era pequeño? Aunque intente acordarme, no puedo."
I wonder if Tom realizes how many hours a day I work.,Me pregunto si Tom se dará cuenta de cuántas horas al día trabajo.
They adopted the orphan.,Ellos adoptaron al huérfano.
He never did his work anyhow.,"En todo caso, él nunca hizo su trabajo."
Last year's Miss Universe winner is very tall.,La ganadora de Miss Universo del año pasado es muy alta.
Can you make out what he is trying to say?,¿Puedes entender lo que está intentando decir?
You've got one hour.,Tú tienes una hora.
I have several recordings of Beethoven's Fifth Symphony.,Tengo varias grabaciones de la quinta sinfonía de Beethoven.
You are probably wrong.,Probablemente te equivoques.
We have the cross.,Tenemos la cruz.
She admitted her actions were inappropriate.,Ella admitió que sus acciones fueron inapropiadas.
We chose Mary a good birthday present.,Encontramos un buen regalo de cumpleaños para Mary.
Tom told Mary that he loved her.,Tom le dijo a Mary que él la amaba.
Can we talk about that tomorrow? My head's going to explode.,¿Podemos hablar de eso mañana? Mi cabeza va a explotar.
We talked in sign language.,Hablamos en lenguaje de señas.
I need a weapon.,Necesito un arma.
I want to become a witch.,Quiero ser un brujo.
The law was changed.,La ley fue alterada.
You have to show respect.,Debes mostrar respeto.
I know this has been hard for you.,Sé que esto ha sido difícil para ti.
This is a Japanese doll.,Esta es una muñeca japonesa.
This is Japan.,Esto es Japón.
I don't totally agree with you.,No estoy totalmente de acuerdo contigo.
Can I find someone here who speaks English?,¿Puedo encontrar aquí alguien que hable inglés?
There are a great number of schools in this city.,En esta ciudad hay muchas escuelas.
This sentence is not a translation. It's the original.,Esta frase no es una traducción. Es la original.
Tell us your real name.,Dinos tu nombre auténtico.
I do not want any bananas at all.,No quiero ningún plátano.
I like this song. It has a nice rhythm and is danceable.,"Me gusta esta canción, tiene un buen ritmo y se puede bailar."
It's OK with me.,Por mí está bien.
He is younger than me by three years.,Tiene tres años menos que yo.
I know your type.,Conozco a los de tu tipo.
We need to care of ourselves.,Nos tenemos que cuidar.
What are they for?,¿Para qué son?
Do you want the book?,¿Quieres el libro?
I'm going to make a cake for Mary's birthday.,Voy a preparar un pastel para el cumpleaños de María.
Beauty without grace is like a rose without a scent.,La belleza sin gracia es como una rosa sin aroma.
May I borrow your knife?,¿Me prestas tu cuchillo?
The wise teacher knew about the sap.,La sabia maestra sabía de la savia.
I just became president of Poets Without Homes.,Acabo de hacerme presidente de Poetas Sin Casas.
"He doesn't want me to go, but I mean to.","Él no quiere que yo vaya, pero pienso ir."
Carry on with your work.,Sigue trabajando.
I'm not satiated yet.,Aún no estoy saciada.
